TestNumber,DataSize,PersistentWriteTime,PersistentReadTime,VolatileWriteTime,VolatileReadTime
89,89000,9.404291987419128,213.95945799350739,8.948125004768372,209.91400003433228
90,90000,8.6475830078125,211.80916702747345,8.511625051498413,214.76491606235504
91,91000,7.161917090415955,215.7033749818802,9.112833023071289,216.82620799541473
92,92000,8.323540925979614,219.88708400726318,7.738999962806702,225.46029198169708
93,93000,9.629166960716248,231.28041696548462,7.769917011260986,232.19437503814697
94,94000,10.16937506198883,231.95450007915497,14.208750009536743,211.7664999961853
95,95000,10.555665969848633,235.26916706562042,7.676999926567078,233.78337502479553
96,96000,10.504457950592041,234.93654108047485,5.006458044052124,203.95208299160004
97,97000,7.332082986831665,247.8976250886917,23.291582942008972,235.14270901679993
98,98000,12.016624927520752,248.64804196357727,11.294082999229431,247.82041597366333
99,99000,9.709792017936707,247.90212500095367,6.41966700553894,228.85583305358887
100,100000,11.509541034698486,244.08062505722046,12.521834015846252,232.03666710853577
